Akronim,Kepanjangan
FPMIPA,Fakultas Pendidikan Matematika dan Ilmu Pengetahuan Alam
FPOK,Fakultas Pendidikan Olahraga dan Kesehatan
FPP,Fraksi Persatuan Pembangunan
FPS,"""""1 Fakultas Pascasarjana, 2 frame per second"
FPTK,Fakultas Pendidikan Teknologi Kejuruan
FS,"""""1 Fakultas Sastra, 2 Fakultas Syariah"
FSPSI,Federasi Serikat Pekerja Seluruh Indonesia
FT,"""""1 Fakultas Teknik, 2 Fakultas Tarbiyah"
FU,Fakultas Ushuluddin
FUG,Fraksi Utusan Golongan
FUI,Forum Umat Islam
G-30S/PKI,Gerakan 30 September/ Partai Komunis Indonesia
GABPEKNAS,Gabungan Perusahaan Kontraktor Nasional
GABSI,Gabungan Bridge Seluruh Indonesia
GAFEKSI,Gabungan Forwarder dan Ekspedisi Indonesia
GAIKINDO,Gabungan Industri Kendaraan Bermotor Indonesia
GALANITA,gabungan sepak bola wanita
GALASISWA,gabungan sepak bola mahasiswa
GALATAMA,liga sepak bola utama
GAM,Gerakan Aceh Merdeka
GANCI,Gantungan Kunci
GAPBESI,Gabungan Pabrik Besi Baja Seluruh Indonesia
GAPEKINDO,Gabungan Perusahaan Korek Api Indonesia
GAPEKNAS,Gabungan Pelaksana Kontruksi Nasional
GAPEKSINDO,Gabungan Perusahaan Konstruksi Nasional Indonesia
GAPENSI,Gabungan Pelaksana Konstruksi Nasional Indonesia
GAPINAS,Gabungan Pengusaha Eksportir Ikan Hias Nasional
GAPKI,Gabungan Pengusaha Kelapa Sawit Indonesia
GAPKINDO,Gabungan Pengusaha Karet Indonesia
GAPMMI,Gabungan Pengusaha Makanan dan Minuman Seluruh Indonesia
GAPPI,"""""1. Gabungan Perusahaan Penilai Indonesia, 2. Gabungan Perusahaan Perunggasan Indonesia"
GAPPINDO,Gabungan Pengusaha Perikanan Indonesia
GAPPRI,Gabungan Perserikatan Pabrik Rokok Indonesia
GARANSI,Gabungan Rekanan Konstruksi Indonesia
GATAKI,Gabungan Asosiasi Tenaga Ahli dan Terampil Konstruksi Indonesia
GATENSI,Gabungan Ahli Teknik Nasional Indonesia
GATIKBI,Gabungan Agen Tunggal dan Industri Kendaraan Bermotor Indonesia
GAVEKSI,Gabungan Veem dan Ekspedisi Indonesia
GBHN,Garis-garis Besar Haluan Negara
GBK,Gelora Bung Karno
GBPP,garis besar program pengajaran
GCBI,Gerakan Cinta Bahasa Indonesia
GEPENG,gelandangan dan pengemis
GERPOL,gerakan politik
GERSAMATA,gerakan desa makmur merata
GERWANI,Gerakan Wanita Indonesia
GESTAPU,Gerakan September Tiga Puluh (G-30-S/PKI)
GG.,"gg,gang"
GIAMM,Gabungan Industri Alat-alat Mobil dan Motor
GINSI,Gabungan Importir Nasional Seluruh Indonesia
GISU,Gigi Susu
GKBI,Gabungan Koperasi Batik Indonesia
GKG,gabah kering giling
GKI,Gerakan Kemanusiaan Indonesia
GKP,gabah kering panen
GKPRI,Gabungan Koperasi Pegawai Republik Indonesia
GKSI,Gabungan Koperasi Susu Indonesia
GMKI,Gerakan Mahasiswa Kristen Indonesia
GMNI,Gerakan Mahasiswa Nasional Indonesia
GNOTA,Gerakan Nasional Orang Tua Asuh
GOLKAR,Golongan Karya
GOLPUT,golongan putih
GOR ATAU GELORA,Gelanggang Olah Raga
GORA,gogo rancah
GPBSI,Gabungan Pengusaha Bioskop Seluruh Indonesia
GPEI,Gabungan Pengusaha Ekspor Indonesia
GPICI,Gabungan Pengusaha Industri Cat Indonesia
GPK,"""""1 gerombolan pengacau keamanan, 2 Gerakan Pemuda Kakbah"
GPMT,Gabungan Perusahaan Makanan Ternak
GPPI,Gabungan Perusahaan Perkebunan Indonesia
GRK,gas rumah kaca
GUDEP,gugus depan
GUPPI,Gabungan Usaha Perbaikan Pendidikan Indonesia
H,"""""1 Haji, 2 Hijriah"
HAKI,"""""1 Hak atas Kekayaan Intelektual, 2 Himpunan Ahli Konstruksi Indonesia"
HAKLI,Himpunan Ahli Kesehatan Lingkungan Indonesia
HAM,hak asasi manusia
HAMKI,Himpunan Ahli Manajemen Konstruksi Indonesia
HANKAM,pertahanan dan keamanan
HANKAMNAS,pertahanan dan keamanan nasional
HANKAMRATA,pertahanan dan keamanan rakyat semesta
HANRA,pertahanan rakyat
HANSIP,pertahanan sipil
HANURA,hati nurani rakyat
HAORNAS,hari olahraga nasional
HAPSAK (PANCASILA),Hari Peringatan Kesaktian (Pancasila)
HARDIKNAS,Hari Pendidikan Nasional (2 Mei)
HARGANAS,hari keluarga nasional
HARKITNAS,Hari Kebangkitan Nasional (20 Mei)
HARLAH,hari lahir
HATHI,Himpunan Ahli Teknik Hidraulik Indonesia
HATSINDO,Himpunan Ahli Teknik Konstruksi Indonesia
HATTI,Himpunan Ahli Teknik Tanah Indonesia
HB,hemoglobin
HDII,Himpunan Desainer Interior Indonesia
HELN,hubungan ekonomi luar negeri
HET,harga eceran tertinggi
HFI,Himpuan Fisika Indonesia
HGB,hak guna bangunan
HGU,hak guna usaha
HIKSI,Himpunan Industri Kecil Seluruh Indonesia
HINABI,Himpunan Industri Alat Berat Indonesia
HIPIS,Himpunan Indonesia untuk Pengembangan Ilmu-ilmu Sosial
HIPMI,Himpunan Pengusaha Muda Indonesia
HIPPI,Himpunan Pengusaha Putera Indonesia
HIPSI,Himpunan Pekerja Sosial Indonesia
HIPTASI,Himpunan Profesi Tenaga Konstruksi Indonesia
HISFARSI,Himpunan Sarjana Farmasi Indonesis
HISKI,Himpunan Sarjana Kesusastraan Indonesia
HISWANA MIGAS,Himpunan Wiraswasta Nasional Minyak dan Gas Bumi
HJ.,Hajah
HKBP,Huria Kristen Batak Protestan
HKHPM,Himpunan Konsultan Hukum Pasar Modal
HKI,Himpunan Kawasan Industri
HKPI,Himpunan Kerukunan Pedagang Indonesia
HKSN,Hari Kesetiakawanan Sosial Nasional
HKTI,Himpunan Kerukunan Tani Indonesia
HLM.,halaman
HLN,hubungan luar negeri
HMI,Himpunan Mahasiswa Islam
HNSI,Himpunan Nelayan Seluruh Indonesia
HP,"""""1 horse power, 2 hand phone, 3 himpunan penyelesaian"
HPBI,"""""Himpunan Pembina Bahasa Indonesia, Himpunan Pencinta Bahasa Indonesia"
HPH,hak pengusaha hutan
HPHH,hak pemungutan hasil hutan
HPI,"""""1. Himpunan Psikologi Indonesia, 2. Himpunan Penerjemah Indonesia"
HPJ,Himpunan Pariwisata Indonesia
HPJI,Himpunan Pengembangan Jalan Indonesia
HPMI,Himpunan Pengusaha Motor Indonesia
HPP,harga pembelian pemerintah
HPPI,"""""1 Himpunan Pengusaha Pribumi Indonesia, 2 Himpunan Praktisi Periklanan Indonesia"
HSBI,Himpunan Seni Budaya Islam
HTAG,"""""hambatan, tantangan, ancaman, dan gangguan"
HTI,"""""1 Hizbut Tahrir Indonesia, 2 hutan tanaman industri"
HTR,hutan tanaman rakyat
HUBDAR,perhubungan darat
HUBLA,perhubungan laut
HUIJ,Himpunan Usahawan Indonesia Jepang
HUMAS,hubungan masyarakat
HUT,hari ulang tahun
HWK,Himpunan Wanita Karya
IAAI,Ikatan Ahli Arkeologi Indonesia
IAD,Ilmu Alamiah Dasar
IAGI,Ikatan Ahli Geologi Indonesia
IAI,"""""1. Ikatan Akuntan Indonesia, 2. Ikatan Apoteker Indonesia, 3. Ikatan Arsitek Indonesia"
IAIN,Institut Agama Islam Negeri
IAKI,Ikatan Ahli Konstruksi Indonesia
IAKMI,Ikatan Ahli Kesehatan Masyarakat Indonesia
IALI,Ikatan Arsitek Lanskap Indonesia
IAMPI,Ikatan Ahli Manajemen Proyek Indonesia
IAP,Ikatan Ahli Perencanaan
IAPPI,Ikatan Ahli Pracetak dan Prategang Indonesia
IASII,Ikatan Audit Sistem Informasi Indonesia
IATO,Ikatan Ahli Teknik Otomotif
IATPI,Ikatan Ahli Teknik Penyehatan dan Teknik Lingkungan Indonesia
IBD,Ilmu Budaya Dasar
IBH,indeks biaya hidup
ICMI,Ikatan Cendekiawan Muslim Indonesia
IDAI,Ikatan Dokter Anak Indonesia
IDI,Ikatan Dokter Indonesia
IDT,Inpres Desa Tertinggal
IGD,Instalasi Gawat Darurat
IGTKI,Ikatan Guru Taman Kanak-Kanak Indonesia
IHH,iuran hasil hutan
IHSG,indeks harga saham gabungan
IIP,Institut Ilmu Pemerintahan
IJTI,Ikatan Jurnalis Televisi Indonesia
IKADI,Ikatan Dai Indonesia
IKADIN,Ikatan Advokat Indonesia
IKAFI,Ikatan Ahli Farmakologi Indonesia
IKAPI,Ikatan Penerbit Indonesia
IKASI,Ikatan Anggar Seluruh Indonesia
IKIP,Institut Keguruan dan Ilmu Pendidikan
IKJ,Institut Kesenian Jakarta
IKKA,Ikatan Kesejahteraan Keluarga ABRI
IKLH,indeks kualitas lingkungan hidup
IKN,Ibu Kota Nusantara
IKORTI,Ikatan Ortodontis Indonesia
IKPI,Ikatan Konsultan Pajak Indonesia
ILUNI,Ikatan Alumni Universitas Indonesia
IMB,"""""1 izin mendirikan bangunan, 2 International Maritime Bureau"
IMI,Ikatan Motor Indonesia
IMLDE,Industri Mesin Logam Dasar dan Elektronika
INALUM,Indonesia Asahan Aluminium
INFO,"""""1 informasi, 2 information"
INI,Ikatan Notaris Indonesia
INKINDO,Ikatan Nasional Konsultan Indonesia
INKOPOL,Induk Koperasi Kepolisian
INMAS,intensifikasi masyarakat
INPRES,instruksi presiden
INTAG,Inventarisasi dan Tata Guna Hutan
INTAKINDO,Ikatan Nasional Tenaga Ahli Konsultan Indonesia
IPA,ilmu pengetahuan alam
IPAL,Instalasi Pengelolaan Air Limbah
IPB,Institut Pertanian Bogor
IPBDTD,Ikatan Perguruan Bela Diri Tenaga Dalam
IPBPH,iuran perizinan berusaha pemanfaatan hutan
IPDA,inspektur polisi dua
IPDN,Institut Pemerintahan Dalam Negeri
IPEDA,iuran pembangunan daerah
IPENHI,Ikatan Peneliti Hukum Indonesia
IPERINDO,Ikatan Perusahaan Industri Kapal Indonesia
IPGI,Ikatan Perancang Grafis Indonesia
IPHI,Ikatan Penasihat Hukum Indonesia
IPI,"""""1 Ikatan Pialang Efek Indonesia, 2 Ikatan Pustakawan Indonesia"
IPMI,Ikatan Perancang Mode Indonesia
IPOLEKSOSBUD,"""""ideologi, politik, ekonomi, sosial, dan budaya"
IPPI,Ikatan Pemerhati Psikologi Industri
IPPUI,Ikatan Profesi Penilai Usaha Indonesia
IPS,ilmu pengetahuan sosial
IPSI,Ikatan Pencak Silat Indonesia
IPTEK,ilmu pengetahuan dan teknologi
IPTN,Industri Pesawat Terbang Nusantara
IPTU,inspektur polisi satu
IR.,insinyur
IRAMASUKA,"""""Irian, Maluku, Sulawesi, dan Kalimantan"
IREDA,iuran rehabilitasi daerah
IRJA,Irian Jaya
IRJABAR,Irian Jaya Barat
IRJEN,inspektur jenderal
IRJENPOL,inspektur jenderal polisi
IRUP,inspektur upacara
ISEI,Ikatan Sarjana Ekonomi Indonesia
ISI,Ikatan Surveyor Indonesia
ISKI,Ikatan Sarjana Komunikasi Indonesia
ISOI,Ikatan Sarjana Oseanografi Indonesia
ISPI,Ikatan Sarjana Pendidikan Indonesia
ISSI,"""""1. Ikatan Sarjana Sastra Indonesia, 2 Ikatan Sport Sepeda Indonesia"
ISTI,Institut Seni Tari Indonesia
ISTORA,Istana Olahraga
ITB,Institut Teknologi Bandung
ITDC,1 Indonesia Tourism Development Corporation 2 InJourney Tourism Development Corporation
ITI,Institut Teknologi Indonesia
ITJA,Indonesian Tourism Journalist Association
ITJEN,inspektorat jenderal
ITS,Institut Teknologi Sepuluh November
IWAPI,Ikatan Wanita Pengusaha Indonesia
IWP,"""""Iuran Wajib Pegawai(gaji, keuangan)"
IWWEF,Indonesia Water and Wastewater Expo and Forum
JABAR,Jawa Barat
JABODETABEK,Jakarta Bogor Depok Tangerang Bekasi
JABODETABEK-PUNJUR,"""""Jakarta, Bogor, Depok, Tangerang, Bekasi, Puncak, dan Cianjur"
JABOTABEK,Jakarta Bogor Tangerang Bekasi
JAGORAWI,Jakarta Bogor Ciawi
JAKAL,Jalan Kaliurang
JAKBAR,Jakarta Barat
JAKGUNG,Jaksa Agung
JAKPUS,Jakarta Pusat
JAKSEL,Jakarta Selatan
JAKTIM,Jakarta Timur
JAKUT,Jakarta Utara
JALINBAR,Jalan Lintas Barat
JALINTIM,Jalan Lintas Timur
JAMDA,jambore daerah
JAMNAS,jambore nasional
JAMPIDSUS,jaksa agung muda tindak pidana khusus
JAMPIDUM,jaksa agung muda tindak pidana umum
JAMSOSTEK,Jaminan Sosial Tenaga Kerja
JANTOP,Jawatan Topografi
JARDIKNAS,jaringan pendidikan nasional
JATAM,Jaringan Advokasi Tambang
JATENG,Jawa Tengah
JATIM,Jawa Timur
JAYA,Jakarta Raya
JDIH,jaringan dokumentasi dan informasi hukum
JI,Jemaah Islamiyah
JIHANDAK,penjinak bahan peledak
JIL,Jaringan Islam Liberal
JK,Jusuf Kalla
JKN,Jaminan Kesehatan Nasional
JKTBM,"""""1 Jawatankuasa Tetap Bahasa Melayu Malaysia, 2 Jawatankuasa Tetap Bahasa Melayu Brunei"
JLN.,jalan
JO.,juncto
JOGLOSEMAR,Jogja-Solo-Semarang
JPKM,Jaminan Pemeliharaan Kesehatan Masyarakat
JPLH,Jaringan Perpustakaan Lingkungan Hidup
JPS,jaring pengaman sosial
JR.,junior
JUBIR,juru bicara
JUKLAK,petunjuk pelaksanaan
JUKMINUM,petunjuk administrasi umum
JUKNIS,petunjuk teknis
JUMANTIK,juru pemantau jentik
JUPEN,juru penerang
JURDIL,jujur adil
JURKAM,juru kampanye
K.,kiai
K.H.,kiai haji
KA.,Kepala
KA,Kereta Api
KAA,Konferensi Asia Afrika
KAB.,"""""1 kabinet, 2 kabupaten"
KABAG,kepala bagian
KABID,kepala bidang
KABIDHUMAS,Kepala Bidang Hubungan Masyarakat
KABIDTU,Kepala Bidang Tata Usaha
KABIN,Kepala Badan Intelijen Negara
KABIRO,Kepala Biro
KABULOG,Kepala Badan Urusan Logistik
KADAPOL,kepala daerah kepolisian
KADES,kepala desa
KADI,Komite Anti Dumping Indonesia
KADIN,"""""Kamar Dagang dan Industri, Kamar Dagang Indonesia"
KADISPEN,kepala dinas penerangan
KADIT,kepala direktorat
KADIV,kepala divisi
KADOLOG,kepala depot logistik
KADUS,Kepala Dusun
KAGI,Kesatuan Aksi Guru Indonesia
KAHMI,Korps Alumni Himpunan Mahasiswa Islam
KAI,Kereta Api Indonesia
KAJARI,Kepala Kejaksaan Negeri
KAJATI,Kepala Kejaksaan Tinggi
KAKANBANGDES,kepala kantor pembangunan desa
KAKANWIL,kepala kantor wilayah
KAKIN,Kebaktian Agama Khonghucu Indonesia
KALBAR,Kalimantan Barat
KALSEL,Kalimantan Selatan
KALTARA,Kalimantan Utara
KALTENG,Kalimantan Tengah
KALTIM,Kalimantan Timur
KAMI,Kesatuan Aksi Mahasiswa Indonesia
KAMMI,Kesatuan Aksi Mahasiswa Muslim Indonesia
KAMTIB,keamanan dan ketertiban
KAMTIBMAS,keamanan dan ketertiban masyarakat
KAN,Komite Akreditasi Nasional
KANCAB,kantor cabang
KANDEP,kantor departemen
KANWIL,kantor wilayah
KAPASDA,kapasitas daerah
KAPET,kawasan pengembangan ekonomi terpadu
KAPI,Kesatuan Aksi Pelajar Indonesia
KAPOL,kepala polisi
KAPOLDA,Kepala Kepolisian Daerah
KAPOLRES,Kepala Kepolisian Resor
KAPOLRESTA,Kepala Kepolisian Resor Kota
KAPOLRI,Kepala Kepolisian Republik Indonesia
KAPOLSEK,Kepala Kepolisian Sektor
KAPOLTABES,Kepala Kepolisian Kota Besar
KAPOLWIL,kepala kepolisian wilayah
KAPT.,kapten
KAPUS,kepala pusat
KAPUSPEN,kepala pusat penerangan
KARO,kepala biro
KARPEG,kartu pegawai
KASAKER,kepala satuan kerja
KASDAM,kepala staf daerah militer
KASGAR,kepala staf garnisun
KASI,kepala seksi
KASN,Komisi Aparatur Sipil Negara
KASTAF,kepala staf garnisun
KASUBBAG,kepala subbagian
KASUBBID,kepala subbidang
KATEDA,kekuatan aliran tenaga dalam
KATESU,kekuatan aliran tenaga suci
KAWITEL,kantor wilayah telekomunikasi
KB,Keluarga Berencana
KBBI,Kamus Besar Bahasa Indonesia
KBH,kontrak bagi hasil
KBI,"""""1 Kamus Bahasa Indonesia, 2 Kawasan Barat Indonesia"
KBIH,Kelompok Bimbingan Ibadah Haji
KBRI,Kedutaan Besar Republik Indonesia
KBU,kamar bicara umum
KEC.,kecamatan
KEDUBES,kedutaan besar
KEIN,Komite Ekonomi dan Industri Nasional
KEJAGUNG,Kejaksaan Agung
KEJAR,kelompok belajar
KEJARI,kejaksaan negeri
KEJATI,kejaksaan tinggi
KEK,kawasan ekonomi khusus
KEL.,"""""1 kelurahan, 2 keluarga"
KELOMPENCAPIR,"""""Kelompok Pendengar, Pembaca, Pirsawan"
KEMENDAG,Kementerian Perdagangan
KEMENDAGRI,Kementerian Dalam Negeri
KEMENDES PDT,Kementerian Desa dan Pembangunan Daerah Tertinggal
KEMENDES PDTT,"""""Kementerian Desa, Pembangunan Daerah Tertinggal, dan Transmigrasi"
KEMENDIKDASMEN,Kementerian Pendidikan Dasar dan Menengah
KEMENDIKNAS,Kementerian Pendidikan Nasional
KEMENDIKTISAINTEK,"""""Kementerian Pendidikan Tinggi, Sains, dan Teknologi"
KEMENDUKBANGGA,Kementerian Kependudukan dan Pembangunan Keluarga
KEMENEGPORA,Kementerian Negara Pemuda dan Olahraga
KEMENEKRAF,Kementerian Ekonomi Kreatif
KEMENHUB,Kementerian Perhubungan
KEMENHUT,Kementerian Kehutanan
KEMENIMIPAS,Kementerian Imigrasi dan Pemasyarakatan
KEMENKES,Kementerian Kesehatan
KEMENKEU,Kementerian Keuangan
KEMENKO,kementerian koordinator
KEMENKOP,Kementerian Koperasi
KEMENKUM,Kementerian Hukum
KEMENKUMHAM,Kementerian Hukum dan Hak Asasi Manusia
KEMENPAR,Kementerian Pariwisata
KEMENPERIN,Kementerian Perindustrian
KEMENPORA,Kementerian Pemuda dan Olahraga
KEMENRISTEKDIKTI,"""""Kementerian Riset, Teknologi, dan Pendidikan Tinggi"
KEMENSOS,Kementerian Sosial
KEMENTAN,Kementerian Pertanian
KEMHAN,Kementerian Pertahanan
KEMLU,Kementerian Luar Negeri
KEMNAKER,Kementerian Ketenagakerjaan
KENOP-15,Kebijaksanaan 15 November
KEP.,keputusan
KEPPRES,Keputusan Presiden
KEPSEK,Kepala Sekolah
KESRA,kesejahteraan rakyat
KG,kilogram
KGB,Komitet Gosudarstvennoy Bezopasnosti
KHN,Komisi Hukum Nasional
KI,"""""1 kawasan industri, 2 konsultan individu"
KIAA,Konferensi Islam Asia Afrika
KIB,"""""1 Kawasan Industri Batamindo, 2 kawasan industri berat"
KIE,komunikasi informasi edukasi
KIK,kredit investasi kecil
KIM,Koalisi Indonesia Maju
KINAS,Komite Industri Nasional
KIP,Komisi Informasi Pusat
KIPNAS,Kongres Ilmu Pengetahuan Nasional
KISS,"""""koordinasi, integrasi, sinkronisasi, simplifikasi"
KJ,kelas jauh
KJRI,Konsulat Jenderal Republik Indonesia
KK,"""""1 kartu keluarga, 2 kepala keluarga"
KKBS,keluarga kecil bahagia sejahtera
KKGJ,Koperasi Kesejahteraan Guru Jakarta
KKI,"""""1 Konsil Kedokteran Indonesia, 2 Konsil Kesehatan Indonesia"
KKIP,Komite Kebijakan Industri Pertahanan
KKK,Ku Klux Klan
KKL,kuliah kerja lapangan
KKM,Kriteria Ketuntasan Minimal (Pendidikan)
KKN,"""""1 korupsi, kolusi, dan nepotisme, 2 kuliah kerja nyata"
KKO-AL,Korps Komando Angkatan Laut
KKP,Kementerian Kelautan dan Perikanan
KKR,Komisi Keadilan dan Rekonsiliasi
KKU,Kredit Kelayakan Usaha
KLBI,Kredit Likuidasi Bank Indonesia
KLH,Kementerian Lingkungan Hidup
KLHK,Kementerian Lingkungan Hidup dan Kehutanan
KLHS,kajian lingkungan hidup strategis
KLOTER,kelompok terbang
KM,Kapal Motor
KMB,Konferensi Meja Bundar
KMD,koran masuk desa
KMKI,Keluarga Mahasiswa Katolik Indonesia
KMKP,kredit modal kerja permanen
KMP,Kabinet Merah Putih
KMS,kartu menuju sehat
KND,Komisi Nasional Disabilitas
KNEKS,Komite Nasional Ekonomi dan Keuangan Syariah
KNIBB,Komite Nasional Indonesia untuk Bendungan Besar
KNIL,Koninklijk Nederlands Indisch Leger
KNKT,Komite Nasional Keselamatan Transportasi
KNPI,Komite Nasional Pemuda Indonesia
KO,"""""1 kabupaten otonom, 2 knock out, 3 koelie ordo-nantie"
KODAERAL,komando daerah angkatan laut
KODAK,komando daerah kepolisian
KODAM,komando daerah militer
KODAMAR,komando daerah maritim
KODAU,komando daerah angkatan udara
KODIM,komando distrik militer
KODYA,kota madya
KOGAB,komando gabungan
KOI,Komite Olahraga Indonesia
KOMBES,komisaris besar (polisi)
KOMDIGI,Komunikasi dan Digital
KOMDIS,komisi disiplin
KOMJAK,Komisi Kejaksaan
KOMJENPOL,komisaris jenderal polisi
KOMNAS,komisi nasional
KOMPOLNAS,Komisi Kepolisian Nasional
KOMSEKKO,komando seksi kepolisian kota
KONI,Komite Olahraga Nasional Indonesia
KONJEN,konsulat jenderal
KOPAJA,Koperasi Angkutan Jakarta
KOPASANDHA,komando pasukan sandi yudha
KOPASGAT,komando pasukan gerak cepat
KOPASKA,komando pasukan katak
KOPASSUS,komando pasukan khusus
KOPATDARA,komando pasukan tempur udara
KOPBUMI,Konsorsium Pembela Buruh Migran Indonesia
KOPDA,kopral dua
KOPERTAIS,Koordinasi Perguruan Tinggi Agama Islam
KOPERTIS,Koordinasi Perguruan Tinggi Swasta
KOPINDO,Koperasi Pembatikan Indonesia
KOPKAMTIB,Komando Operasi Pemulihan Keamanan dan Ketertiban
KOPKAR,Koperasi Karyawan
KOPTI,Koperasi Produsen Tahu Tempe Indonesia
KOPTU,Kopral Satu
KOPUR,Komando Tempur
KORAMIL,Komando Rayon Militer
KOREM,Komando Resor Militer
KORESTA,"""""1 komando rehabilitasi dan stabilisasi, 2 komando resor kepolisian kota"
KORLAP,Koordinator Lapangan
KORMIN,Koordinator Administrasi
KORPRI,Korps Pegawai Republik Indonesia
KORSEL,Korea Selatan
KORTEK,koordinator teknis
KORUT,Korea Utara
KORWIL,koordinator wilayah
KOSATGAS,komando satuan tugas
KOSEK,komando sektor
KOSGORO,Kesatuan Organisasi Serba Guna Gotong Royong
KOSTRAD,Komando Strategi Angkatan Darat
KOSTRANAS,Komando Strategi Nasional
KOTIF,Kota Administratif
KOWABRI,Korps Wanita Angkatan Bersenjata Republik Indonesia
KOWAD,Korps Wanita Angkatan Darat
KOWAL,Korps Wanita Angkatan Laut
KOWANI,Kongres Wanita Indonesia
KOWAU,Korps Wanita Angkatan Udara
KOWILHAN,komando wilayah pertahanan
KP.,Kampung
KPA,kursus pegawai administrasi
KPAA,kursus pegawai administrasi tingkat atas
KPAI,Komisi Perlindungan Anak Indonesia
KPBA,kelompok pecinta bacaan anak-anak
KPBU,Kerjasama Pemerintah dengan Badan Usaha
KPG,kursus pendidikan guru
KPH,"""""1 Kantor Pengendalian Harga, 2 Kawasan Penguasaan Hutan, 3 kesatuan pengelolaan hutan"
KPI,Koalisi Perempuan Indonesia untuk Keadilan dan Demokrasi
KPK,Komisi Pemberantasan Korupsi
KPKN,Kantor Perbendaharaan dan Kas Negara
KPLP,Kesatuan Penjaga Laut dan Pantai
KPN,"""""1 Koperasi Pegawai Negeri, 2 Kantor Perbendaharaan Negara"
[[KPPI],Komite Pengamanan Perdagangan Indonesia
KPPIP,Komite Percepatan Penyediaan Infrastruktur Prioritas
KPPN,Kantor Pusat Perbendaharaan Negara
KPPU,Komisi Pengawas Persaingan Usaha
KPR,kredit pemilikan rumah
KPU,Komisi Pemilihan Umum
KPUD,Komisi Pemilihan Umum Daerah
KRA,Kursus Reguler Angkatan (diselenggarakan Lemhanas)
KRC,kayu rimba campuran
KRD,kereta rel diesel
KRL,kereta rel listrik
KRS,kartu rencana studi
KSAB,Kepala Staf Angkatan Bersenjata
KSAD,Kepala Staf Angkatan Darat
KSAL,Kepala Staf Angkatan Laut
KSAU,Kepala Staf Angkatan Udara
KSK,Konvensi Senjata Kimia
KSLL,konstruksi sarang laba-laba
KSN,1 kawasan strategis nasional 2 Kompetisi Sains Nasional
KSNT,kawasan strategis nasional tertentu
KSOB,kupon sumbangan olahraga berhadiah
KSP,Kantor Staf Presiden
KTA,kartu tanda anggota
KTI,1 Kawasan Timur Indonesia 2 Kesatuan Tani Indonesia
KTKI,Konsil Tenaga Kesehatan Indonesia
KTN,Komisi Tiga Negara
KTNB,kerja sama teknik antar negara berkembang
KTP,"""""1 kartu tanda penduduk, 2 kartu tanda pengenal"
KTT,konferensi tingkat tinggi
KTU,kepala bagian tata usaha
KUA,kantor urusan agama
KUB,kelompok usaha bersama
KUBI,Kamus Umum Bahasa Indonesia
KUD,koperasi unit desa
KUHAP,kitab undang-undang hukum acara pidana
KUHP,kitab undang-undang hukum pidana
KUHPT,kitab undang-undang hukum pidana tentara
KUK,Kredit Usaha Kecil
KUKMI,Kerukunan Usahawan Kecil dan Menengah Indonesia
KUP,kantor urusan pegawai
KUR,kredit usaha rakyat
KUT,Kredit Usaha Tani
KWARCAB,kuartir cabang
KWARNAS,kuartir nasional
KWI,Konferensi Wali Gereja Indonesia
KY,Komisi Yudisial
L.L.,lalu lintas
LABKRIM,laboratorium kriminal
LAI,Lembaga Alkitab Indonesia
LAKSDA,laksamana muda
LAKSDYA,laksamana madya
LAKSMA,laksamana pertama
LAKSUS,pelaksana khusus
LAKSUSDA,pelaksana khusus daerah
LALIN,lalu lintas
LAMP.,lampiran
LAN,"""""1. Lembaga Administrasi Negara (politik), 2. Local Area Network (infotek)"
LANSIA,lanjut usia
LANUMA,pangkalan udara utama
LAPAN,Lembaga Antariksa dan Penerbangan Nasional
LAPAS,lembaga pemasyarakatan
LATGAB,latihan gabungan
LATIN,Lembaga Alam Tropika Indonesia
LATMA,latihan bersama
LBATANI,Lembaga Baluse Tano Niha
LBH,lembaga bantuan hukum
LBHI,Lembaga Bantuan Hukum Indonesia
LBI,Lembaga Biblika Indonesia
LBN,Lembaga Biologi Nasional
LDII,Lembaga Dakwah Islam Indonesia
LDKM,Latihan Dasar Kepemimpinan Mahasiswa
LEI,Lembaga Ekolabel Indonesia
LEKNAS,Lembaga Ekonomi Kemasyarakatan Nasional
LEKRA,Lembaga Kebudayaan Rakyat
LEMHANAS,Lembaga Pertahanan Nasional
LEMIGAS,Lembaga Minyak dan Gas Bumi
LEMPUSDIKA,Lembaga Pusat Pendidikan dan Pelatihan Pramuka
LEMSANEG,Lembaga Sandi Negara
LETDA,letnan dua
LETJEN,letnan jenderal
LETTU,letnan satu
LFN,Lembaga Fisika Nasional
LGN,Lembaga Geologi Nasional
LHI,Lembaga Humor Indonesia
LIK,"""""1 Lembaga Inventarisasi Kehutanan, 2 lingkungan industri kecil"
LIN,Liga Indonesia-Nederland
LINUD,lintas udara
LIPI,Lembaga Ilmu Pengetahuan Indonesia
LITBANG,penelitian dan pengembangan
LKBN,Lembaga Kantor Berita Nasional
LKIM,lomba karya ilmiah mahasiswa
LKIR,lomba karya ilmiah remaja
LKM,"""""1 Lembaga Keuangan Masyarakat, 2 latihan kepemimpinan mahasiswa"
LKMD,Lembaga Ketahanan Masyarakat Desa
LKPU,Lembaga Konsultasi Pemilihan Umum
LKTM,lomba karya tulis mahasiswa
LMV,Lembaga Modal Ventura
LN,1. Luar Negeri (umum); 2. Lembaran Negara (hukum)
LOG.,logistik
LOLAPIL,loka latih keterampilan
